country,pop
中国,1392.73
阿联酋,9.63096
韩国,51.63526
日本,126.5291
土耳其,82.31972
新加坡,5.63868
伊朗,81.80027
印度,1352.61733
印度尼西亚,267.66343
阿尔巴尼亚,2.86638
爱尔兰,4.85351
爱沙尼亚,1.32088
安道尔,0.07701
奥地利,8.84704
白俄罗斯,9.48539
保加利亚,7.02422
比利时,11.42207
冰岛,0.35357
波兰,37.97855
波黑,3.32393
丹麦,5.79745
德国,82.92792
俄罗斯,144.47805
法国,66.98724
法罗群岛,0.0485
梵蒂冈,0
芬兰,5.51805
荷兰,17.23102
黑山,0.62235
捷克,10.62569
克罗地亚,4.0894
拉脱维亚,1.92654
立陶宛,2.78953
列支敦士登,0.03791
卢森堡,0.60773
罗马尼亚,0
马恩岛,0.08408
马耳他,0.48353
北马其顿,2.08296
摩尔多瓦,3.54588
摩纳哥,0.03868
挪威,5.31434
葡萄牙,10.28176
瑞典,10.18317
瑞士,8.51654
塞尔维亚,6.98208
圣马力诺,0.03378
斯洛伐克,5.44701
斯洛文尼亚,2.06737
乌克兰,44.62252
西班牙,46.72375
希腊,10.72767
匈牙利,9.76878
意大利,60.43128
英国,66.48899
直布罗陀,0
加拿大,37.05886
美国,327.16743
古巴,11.33814
墨西哥,126.19079
阿根廷,44.4945
巴西,209.46933
澳大利亚,24.99237
新西兰,4.8855
马来西亚,31.187
